id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1410197,Your Furnished Private Apartment,4165498,L.A.,Manhattan,East Harlem,40.79813,-73.93132,Entire home/apt,120,7,64,2019-04-03,0.91,2,184
1411583,GREAT 1BR apt 162st at Amsterdam av,7499240,Candy,Manhattan,Washington Heights,40.8392,-73.94216,Entire home/apt,120,1,76,2019-01-13,1.07,2,314
1411811,Charming Parlor Apt off Bleecker,4129805,Evelyn,Manhattan,West Village,40.73078,-74.00282,Entire home/apt,210,2,140,2019-06-10,2.10,5,319
1415738,Private bedroom and bathroom in Brooklyn,7628445,Rosa,Brooklyn,Park Slope,40.67317,-73.97676,Private room,160,30,25,2018-08-22,0.35,1,363
1416631,Family-Friendly Artist Loft in West Village,7633037,Jesse,Manhattan,West Village,40.73721,-74.00973,Entire home/apt,110,6,1,2018-09-01,0.10,2,0
1420295,"Sunny, Bright, Vibrant Apartment in Williamsburg!",2357027,Harmon,Brooklyn,Williamsburg,40.71419,-73.95042,Entire home/apt,200,7,0,,,1,345
1420559,Great 1BR apartment in a convenient location,3349838,Tom,Queens,Long Island City,40.74449,-73.95201,Entire home/apt,138,1,4,2016-07-05,0.06,1,41
1421933,Room in Chelsea New York,7654246,Tamara,Manhattan,Chelsea,40.74036,-74.00138,Private room,90,3,5,2016-07-25,0.11,1,0
1423112,"Private Room in Brooklyn, NY",7659871,Cristie,Brooklyn,Prospect-Lefferts Gardens,40.65671,-73.9622,Private room,45,30,21,2019-04-30,0.45,1,21
1423175,Bright open space in Sunset Park,1403769,Anastasia,Brooklyn,Sunset Park,40.64674,-74.01043,Entire home/apt,80,30,18,2017-09-30,0.31,1,161
1425801,Perfectly situated williamsburg apt,1862491,Ben,Brooklyn,Williamsburg,40.71406,-73.94965,Private room,70,10,0,,,1,365
1426004,Charming private room & sunny deck!,7670501,Jennifer,Brooklyn,Bedford-Stuyvesant,40.6937,-73.93104,Private room,72,7,41,2019-06-11,0.58,1,68
1426529,Comfy room in vibrant East Village,7672728,Brooke & Terry,Manhattan,East Village,40.72418,-73.98283,Private room,95,14,172,2019-05-25,2.39,1,14
1427084,Private Room Private Restroom tons Natural Light,5531489,Aurelio,Brooklyn,Bedford-Stuyvesant,40.68584,-73.9263,Private room,75,5,13,2019-05-22,0.56,1,3
1427401,Fully furnished private apartment..,7676839,Gabor,Queens,Astoria,40.76781,-73.92684,Entire home/apt,70,20,75,2018-09-15,1.05,1,364
1427518,"Spacious, amenity-filled 1 BDR Williamsburg Apt",7654662,Elizabeth,Brooklyn,Williamsburg,40.71385,-73.93861,Entire home/apt,160,6,1,2013-09-07,0.01,1,0
1428154,"Central, Peaceful Semi-Private Room",5912572,Tangier,Brooklyn,Flatbush,40.63899,-73.95177,Shared room,29,2,5,2014-10-20,0.07,1,321
1428359,Comfy Park Slope 1 BR Apt Near Prospect Park,7681637,Linda,Brooklyn,South Slope,40.66453,-73.97912,Entire home/apt,175,3,62,2019-05-12,1.46,1,213
1428371,Great  Room in Astoria - New York,7681692,Ernesto,Queens,Astoria,40.76924,-73.91776,Private room,75,6,0,,,1,180
1428648,Bright Rm avail in heart of Village,7683052,Leah,Manhattan,Greenwich Village,40.72998,-73.99999,Private room,110,3,7,2018-12-10,0.12,1,0
1428844,Gorgeous sky-lit 2BR,266878,Jean & Gabriel,Brooklyn,Williamsburg,40.71362,-73.93561,Entire home/apt,175,3,199,2019-06-30,2.78,1,272
1430650,"Columbus Circle Comfort, minutes from Times Square",7691518,Brent,Manhattan,Hell's Kitchen,40.768,-73.98695,Private room,99,1,123,2019-06-25,1.99,2,245
1431246,Private bedroom + private bathroom,7693917,Brian,Manhattan,Inwood,40.86457,-73.92749,Private room,100,2,7,2015-12-07,0.15,1,36
1433897,The Lavender Suite on Greene,33816,Kamaya,Brooklyn,Bedford-Stuyvesant,40.68714,-73.95775,Entire home/apt,144,5,3,2016-10-09,0.06,1,0
1434010,Brooklyn College Manor,5654072,Mark,Brooklyn,Flatbush,40.63427,-73.95248,Entire home/apt,171,2,34,2019-07-02,1.47,3,243
1436810,W80's Renovated with Chef's Kitchen,3038687,Karen,Manhattan,Upper West Side,40.78622,-73.97586,Entire home/apt,99,30,23,2019-04-20,0.32,8,89
1437044,Gorgeous West Village Hidden Gem,3355679,Roxanne,Manhattan,West Village,40.73556,-74.00903,Entire home/apt,270,1,4,2015-10-04,0.06,1,0
1438369,True Two Bedroom Apartment in Lower Manhattan,4314535,Arielle,Manhattan,Lower East Side,40.71444,-73.98348,Entire home/apt,160,3,220,2019-06-28,3.19,1,24
1438870,Spacious very High ceiling place !,7728790,Celin,Manhattan,Harlem,40.82407,-73.94434,Private room,65,7,40,2019-06-13,0.86,1,64
1439162,Cozy & Private 1 Bedroom Garden Level Apartment,7460181,Geraldine,Brooklyn,Bedford-Stuyvesant,40.68238,-73.93795,Entire home/apt,99,3,208,2019-06-25,2.89,1,206
1440363,Artsy Harlem Guest Space,7735666,Laura,Manhattan,Harlem,40.81623,-73.94907,Entire home/apt,125,3,232,2019-06-13,3.22,1,47
1442450,Saratoga Park Suite,7388128,Aqila,Brooklyn,Bedford-Stuyvesant,40.68669,-73.91897,Private room,72,3,0,,,1,365
