GATE_TYPE,GATE_NAME,COUNTY_NAME,NEIGHBORHOOD_NAME,LOCATION,STREET_NAME,LATITUDE,LONGITUDE
Köprü,Şehit Şenol Özgül Köprüsü,BAĞCILAR,100. YIL,Barbaros Caddesi,0-3,41.0549688296164,28.8548921845927
Köprü,Tekstilkent Üst Geçidi,ESENLER,ORUÇREİS,TEM,Tekstilkent Arkası,41.0672580948894,28.8597459935825
Araç Alt Geçidi,Birlik Alt Geçidi (Liman Sok. Matbaacılar Cad.Kesişimi),BAĞCILAR,GÖZTEPE,O3 Altı,Matbaacılar Cad.,41.0580137314078,28.846004603805
Araç Alt Geçidi,Birlik Alt Geçidi 1.,BAĞCILAR,100. YIL,O3 Altı,Veysel Karani Cad.,41.0562934065939,28.8493755722668
Araç Alt Geçidi,Mehmet Akif Ersoy Gazi Cad.Kesişimi Köp.,ESENLER,BİRLİK,O3 Altı,Çinçindere Alt Geçidi,41.0533122373088,28.8656223682077
Araç Alt Geçidi,Kadife Kavşağı  Tünel 2,BAYRAMPAŞA,YENİDOĞAN,O3 Altı,O3,41.0385202111096,28.9154088373884
Köprü,Aksaray Köprülü Kavşak İSKİ Önü Bağlantı Yolu),FATİH,İSKENDERPAŞA,Aksaray Meydanı Bağ. Yolu,Aksaray Meydanı Bağ. Yolu,41.0096406677991,28.9503349744668
Köprü,Aksaray Üst Geçidi 1,FATİH,KEMALPAŞA,Kemalpaşa ,Atatürk Bulvarı,41.0096697804924,28.9533599196839
Araç Alt Geçidi,Topçular,EYÜP,TOPÇULAR,Vatan Bağ. Yolu,O3,41.0302696560892,28.9221756067431
Araç Alt Geçidi,Otogar Giriş Alt Geçidi,BAYRAMPAŞA,ALTINTEPSİ,Otogar Önü,Otogar Yolu,41.0360783921091,28.8947222806133
Yaya Alt Geçidi,Eminönü Yaya Alt Geçidi 1.,FATİH,HOBYAR,Eminönü Meydan,Reşadiye Caddesi,41.0172171476959,28.9730905994499
Yaya Üst Geçidi,Otakçılar Yaya Üst Geçidi,EYÜP,DEFTERDAR,E5 Altı,Otakçılar Cad.,41.0377756702227,28.937323705853
Araç Alt Geçidi,Edirnekapı Araç Alt Geçidi,EYÜP,DEFTERDAR,Edirnekapı,Savaklar Cad.,41.0313480848053,28.9355550025353
Yaya Üst Geçidi,Londra Asfaltı Metrobüs Yaya Üst Geçidi,AVCILAR,GÜMÜŞPALA,KIA Motor Önü,D-100,40.9788853644294,28.7339457441097
Yaya Üst Geçidi,Hacı Şerİf Metrobüs Yaya Üst Geçidi,AVCILAR,DENİZKÖŞKLER,IVECO GENPAR Önü,D-100,40.9773159468832,28.7408544962132
Araç Alt Geçidi,Vatan Kavşağı,AVCILAR,GÜMÜŞPALA,Küçükçekmece Sahil,D-100,40.9793255299247,28.7489520620268
Araç Alt Geçidi,Üniversite Önü Tünel,AVCILAR,ÜNİVERSİTE,Üniversite Önü,Firuzköy Bulvarı,40.9885647447718,28.7213072688314
